series_id,year,month,value
CUUR0000SA0,2024,M12,315.605
CUUR0000SA0,2024,M11,315.493
CUUR0000SA0,2024,M10,315.664
CUUR0000SA0,2024,M09,315.301
CUUR0000SA0,2024,M08,314.796
CUUR0000SA0,2024,M07,314.54
CUUR0000SA0,2024,M06,314.175
CUUR0000SA0,2024,M05,314.069
CUUR0000SA0,2024,M04,313.548
CUUR0000SA0,2024,M03,312.332
CUUR0000SA0,2024,M02,310.326
CUUR0000SA0,2024,M01,308.417
CUUR0000SA0,2023,M12,306.746
CUUR0000SA0,2023,M11,307.051
CUUR0000SA0,2023,M10,307.671
CUUR0000SA0,2023,M09,307.789
CUUR0000SA0,2023,M08,307.026
CUUR0000SA0,2023,M07,305.691
CUUR0000SA0,2023,M06,305.109
CUUR0000SA0,2023,M05,304.127
CUUR0000SA0,2023,M04,303.363
CUUR0000SA0,2023,M03,301.836
CUUR0000SA0,2023,M02,300.84
CUUR0000SA0,2023,M01,299.17
CUUR0000SA0,2022,M12,296.797
CUUR0000SA0,2022,M11,297.711
CUUR0000SA0,2022,M10,298.012
CUUR0000SA0,2022,M09,296.808
CUUR0000SA0,2022,M08,296.171
CUUR0000SA0,2022,M07,296.276
CUUR0000SA0,2022,M06,296.311
CUUR0000SA0,2022,M05,292.296
CUUR0000SA0,2022,M04,289.109
CUUR0000SA0,2022,M03,287.504
CUUR0000SA0,2022,M02,283.716
CUUR0000SA0,2022,M01,281.148
CUUR0000SA0,2021,M12,278.802
CUUR0000SA0,2021,M11,277.948
CUUR0000SA0,2021,M10,276.589
CUUR0000SA0,2021,M09,274.31
CUUR0000SA0,2021,M08,273.567
CUUR0000SA0,2021,M07,273.003
CUUR0000SA0,2021,M06,271.696
CUUR0000SA0,2021,M05,269.195
CUUR0000SA0,2021,M04,267.054
CUUR0000SA0,2021,M03,264.877
CUUR0000SA0,2021,M02,263.014
CUUR0000SA0,2021,M01,261.582
CUUR0000SA0,2020,M12,260.474
CUUR0000SA0,2020,M11,260.229
CUUR0000SA0,2020,M10,260.388
CUUR0000SA0,2020,M09,260.28
CUUR0000SA0,2020,M08,259.918
CUUR0000SA0,2020,M07,259.101
CUUR0000SA0,2020,M06,257.797
CUUR0000SA0,2020,M05,256.394
CUUR0000SA0,2020,M04,256.389
CUUR0000SA0,2020,M03,258.115
CUUR0000SA0,2020,M02,258.678
CUUR0000SA0,2020,M01,257.971
SUUR0000SA0,2024,M12,175.251
SUUR0000SA0,2024,M11,175.237
SUUR0000SA0,2024,M10,175.39
SUUR0000SA0,2024,M09,175.206
SUUR0000SA0,2024,M08,174.993
SUUR0000SA0,2024,M07,174.897
SUUR0000SA0,2024,M06,174.721
SUUR0000SA0,2024,M05,174.685
SUUR0000SA0,2024,M04,174.424
SUUR0000SA0,2024,M03,173.796
SUUR0000SA0,2024,M02,172.7
SUUR0000SA0,2024,M01,171.649
SUUR0000SA0,2023,M12,170.718
SUUR0000SA0,2023,M11,170.946
SUUR0000SA0,2023,M10,171.421
SUUR0000SA0,2023,M09,171.49
SUUR0000SA0,2023,M08,171.128
SUUR0000SA0,2023,M07,170.461
SUUR0000SA0,2023,M06,170.303
SUUR0000SA0,2023,M05,169.774
SUUR0000SA0,2023,M04,169.376
SUUR0000SA0,2023,M03,168.501
SUUR0000SA0,2023,M02,168.069
SUUR0000SA0,2023,M01,167.267
SUUR0000SA0,2022,M12,165.974
SUUR0000SA0,2022,M11,166.498
SUUR0000SA0,2022,M10,166.609
SUUR0000SA0,2022,M09,165.845
SUUR0000SA0,2022,M08,165.389
SUUR0000SA0,2022,M07,165.495
SUUR0000SA0,2022,M06,165.553
SUUR0000SA0,2022,M05,163.615
SUUR0000SA0,2022,M04,161.787
SUUR0000SA0,2022,M03,160.835
SUUR0000SA0,2022,M02,158.617
SUUR0000SA0,2022,M01,157.178
SUUR0000SA0,2021,M12,155.926
SUUR0000SA0,2021,M11,155.538
SUUR0000SA0,2021,M10,154.884
SUUR0000SA0,2021,M09,153.734
SUUR0000SA0,2021,M08,153.301
SUUR0000SA0,2021,M07,153.076
SUUR0000SA0,2021,M06,152.295
SUUR0000SA0,2021,M05,151.022
SUUR0000SA0,2021,M04,149.903
SUUR0000SA0,2021,M03,148.746
SUUR0000SA0,2021,M02,147.845
SUUR0000SA0,2021,M01,147.125
SUUR0000SA0,2020,M12,146.408
SUUR0000SA0,2020,M11,146.242
SUUR0000SA0,2020,M10,146.382
SUUR0000SA0,2020,M09,146.417
SUUR0000SA0,2020,M08,146.27
SUUR0000SA0,2020,M07,145.747
SUUR0000SA0,2020,M06,144.847
SUUR0000SA0,2020,M05,144.018
SUUR0000SA0,2020,M04,144.142
SUUR0000SA0,2020,M03,144.913
SUUR0000SA0,2020,M02,145.193
SUUR0000SA0,2020,M01,144.813
